"Account Code","Account Name (EN)","Account Name (AR)","Account Type","Parent Account","Parent Name",Level,"Posting / Non-Posting","Active / Inactive","Normal Balance","FS Line","Reporting Group","Cash / Bank","Control Account (subledger)","Counterparty Required","Advance Holder Required"
115090,"Eligible Pre-Operating Costs","تكاليف ما قبل التشغيل المؤهلة",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115099,"Other Capitalizable Project Costs","تكاليف مشروع رأسمالية أخرى",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
116001,"Advance Payments for Acquisition of PRJ-02 Interest","دفعات مقدمة للاستحواذ على حصة مشروع الراشدية",Asset,116000,"Investments & Project Interest Acquisitions",2,Posting,Active,Dr,SFP-A-050,"Investments & Project Interest Acquisitions",,,,
116002,"Investment – Acquisition of PRJ-02 Interest (Completed)","استثمار – الاستحواذ على حصة مشروع الراشدية (منجز)",Asset,116000,"Investments & Project Interest Acquisitions",2,Posting,Active,Dr,SFP-A-050,"Investments & Project Interest Acquisitions",,,,
116011,"Acquisition of Abdul Hamid Hailan's Interest – PRJ-02","الاستحواذ على حصة عبد الحميد هيلان – مشروع الراشدية",Asset,116000,"Investments & Project Interest Acquisitions",2,Posting,Active,Dr,SFP-A-050,"Investments & Project Interest Acquisitions",,,,
117001,"Concession & Operating Right – PRJ-01","حق الامتياز والتشغيل - PRJ-01",Asset,117000,"Concession Rights & Amortization",2,Posting,Active,Dr,SFP-A-060,"Concession Rights & Amortization",,,,
117002,"Concession & Operating Right – PRJ-02","حق الامتياز والتشغيل - PRJ-02",Asset,117000,"Concession Rights & Amortization",2,Posting,Active,Dr,SFP-A-060,"Concession Rights & Amortization",,,,
117011,"Accumulated Amortization – PRJ-01","مجمع إطفاء حق الامتياز - PRJ-01",Asset,117000,"Concession Rights & Amortization",2,Posting,Active,Dr,SFP-A-070,"Concession Rights & Amortization",,,,
117012,"Accumulated Amortization – PRJ-02","مجمع إطفاء حق الامتياز - PRJ-02",Asset,117000,"Concession Rights & Amortization",2,Posting,Active,Dr,SFP-A-070,"Concession Rights & Amortization",,,,
118001,Vehicles,المركبات,Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-080,"Retained Fixed Assets",,,,
118002,"Movable Machinery","مكائن منقولة",Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-080,"Retained Fixed Assets",,,,
118003,Computers,الحواسيب,Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-080,"Retained Fixed Assets",,,,
118004,"Office Equipment","معدات مكتبية",Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-080,"Retained Fixed Assets",,,,
118005,Furniture,الأثاث,Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-080,"Retained Fixed Assets",,,,
118006,"Independent Software","برمجيات مستقلة",Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-080,"Retained Fixed Assets",,,,
118009,"Other Retained Assets","أصول محتفظ بها أخرى",Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-080,"Retained Fixed Assets",,,,
118011,"Accumulated Depreciation – Retained Assets","مجمع إهلاك الأصول المحتفظ بها",Asset,118000,"Retained Fixed Assets",2,Posting,Active,Dr,SFP-A-090,"Retained Fixed Assets",,,,
211001,"Trade Suppliers (Payable)","موردون تجاريون (دائنون)",Liability,211000,"Current Liabilities",2,Posting,Active,Cr,SFP-L-110,"Current Liabilities",,"Trade suppliers",Yes,
211002,"Contractors Payable","مقاولون دائنون",Liability,211000,"Current Liabilities",2,Posting,Active,Cr,SFP-L-110,"Current Liabilities",,Contractors,Yes,
211003,"Certified Works Payable","أعمال مصدّقة مستحقة الدفع",Liability,211000,"Current Liabilities",2,Posting,Active,Cr,SFP-L-110,"Current Liabilities",,"Certified works",Yes,
211004,"Retention Payable","محتجزات مستحقة الدفع",Liability,211000,"Current Liabilities",2,Posting,Active,Cr,SFP-L-115,"Current Liabilities",,Retention,Yes,
211010,"Accrued Expenses","مصروفات مستحقة",Liability,211000,"Current Liabilities",2,Posting,Active,Cr,SFP-L-120,"Current Liabilities",,,,
211011,"Salaries Payable","رواتب مستحقة",Liability,211000,"Current Liabilities",2,Posting,Active,Cr,SFP-L-120,"Current Liabilities",,,,
211090,"Other Payables – Hassan Yaqoub","ذمم دائنة أخرى – حسن يعقوب",Liability,211000,"Current Liabilities",2,Posting,Active,Cr,SFP-L-120,"Current Liabilities",,,Yes,
213001,"State Company for Land Transport – 20% Share Payable","الشركة العامة للنقل البري - حصة 20٪ مستحقة",Liability,213000,"Government Liabilities",2,Posting,Active,Cr,SFP-L-130,"Government Liabilities",,"Government 20% share",Yes,
213002,"Taxes & Statutory Deductions Payable","ضرائب واستقطاعات قانونية مستحقة",Liability,213000,"Government Liabilities",2,Posting,Active,Cr,SFP-L-130,"Government Liabilities",,,,
213009,"Other Government Liabilities","التزامات حكومية أخرى",Liability,213000,"Government Liabilities",2,Posting,Active,Cr,SFP-L-130,"Government Liabilities",,,,
221001,"Shareholder Loan – Mohammed Abdul Redha Eidan Al-Shammari","قرض مساهم - محمد عبد الرضا عيدان الشمري",Liability,221000,"Shareholder Loans",2,Posting,Active,Cr,SFP-L-140,"Shareholder Loans",,"Shareholder loan",Yes,
221002,"Shareholder Loan – Samer Kareem Dahham","قرض مساهم - سامر كريم دحام",Liability,221000,"Shareholder Loans",2,Posting,Active,Cr,SFP-L-140,"Shareholder Loans",,"Shareholder loan",Yes,
221003,"Shareholder Loan – Hussein Zahrawi Hatem","قرض مساهم - حسين زهراوي حاتم",Liability,221000,"Shareholder Loans",2,Posting,Active,Cr,SFP-L-140,"Shareholder Loans",,"Shareholder loan",Yes,
221004,"Shareholder Loan – Hussam Fakher Jallab","قرض مساهم - حسام فاخر جلاب",Liability,221000,"Shareholder Loans",2,Posting,Active,Cr,SFP-L-140,"Shareholder Loans",,"Shareholder loan",Yes,
222001,"Shareholder Current Account – Mohammed Al-Shammari","حساب جاري مساهم - محمد الشمري",Liability,222000,"Shareholder Current Accounts",2,Posting,Active,Cr,SFP-L-150,"Shareholder Current Accounts",,,Yes,
222002,"Shareholder Current Account – Samer Kareem","حساب جاري مساهم - سامر كريم",Liability,222000,"Shareholder Current Accounts",2,Posting,Active,Cr,SFP-L-150,"Shareholder Current Accounts",,,Yes,
222003,"Shareholder Current Account – Hussein Zahrawi","حساب جاري مساهم - حسين زهراوي",Liability,222000,"Shareholder Current Accounts",2,Posting,Active,Cr,SFP-L-150,"Shareholder Current Accounts",,,Yes,
222004,"Shareholder Current Account – Hussam Fakher","حساب جاري مساهم - حسام فاخر",Liability,222000,"Shareholder Current Accounts",2,Posting,Active,Cr,SFP-L-150,"Shareholder Current Accounts",,,Yes,
310001,"Registered Capital – Mohammed Al-Shammari","رأس المال المسجل - محمد الشمري",Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-210,Equity,,,Yes,
310002,"Registered Capital – Samer Kareem","رأس المال المسجل - سامر كريم",Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-210,Equity,,,Yes,
310003,"Registered Capital – Hussein Zahrawi","رأس المال المسجل - حسين زهراوي",Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-210,Equity,,,Yes,
310004,"Registered Capital – Hussam Fakher","رأس المال المسجل - حسام فاخر",Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-210,Equity,,,Yes,
310010,"Capital Contributions Pending Registration","مساهمات رأسمالية قيد التسجيل",Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-220,Equity,,,,
310020,Reserves,الاحتياطيات,Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-230,Equity,,,,
310030,"Retained Earnings","أرباح مدوّرة",Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-240,Equity,,,,
